1GMH-E-F	Negative	0.902815	0.097185
1DOW-B-A	Negative	0.825556	0.174444
1XMO-V-M	Positive	0.113346	0.886654
1QKA-B-A	Positive	0.324485	0.675515
1UF2-K-A	Positive	0.215793	0.784207
1FZG-M-B	Positive	0.231372	0.768628
1P13-D-A	Negative	0.5	0.5
1YDT-I-E	Negative	0.540359	0.459641
1T7D-C-A	Positive	0.438296	0.561704
1D4P-A-B	Negative	0.756835	0.243165
1D4P-H-B	Negative	0.582526	0.417474
1YPH-B-D	Negative	0.821259	0.178741
1U92-C-A	Positive	0.32649	0.67351
1JAN-I-A	Positive	0.407426	0.592574
1GTJ-3-1	Positive	0.450446	0.549554
1QJ7-A-B	Negative	0.671091	0.328909
1QJ7-I-B	Negative	0.573649	0.426351
1F4V-D-A	Negative	0.911562	0.0884383
1RGJ-B-A	Negative	0.598401	0.401599
1T65-B-A	Negative	0.555708	0.444292
1HR9-O-B	Negative	0.516078	0.483922
1G6R-P-A	Negative	0.687178	0.312822
1N6D-G-A	Positive	0.277075	0.722925
1CQT-I-A	Negative	0.485901	0.514099
1CQT-J-A	Negative	0.475416	0.524584
1EG4-P-A	Positive	0.428349	0.571651
1OYT-L-H	Negative	0.757205	0.242795
1OYT-I-H	Negative	0.563291	0.436709
1AS4-B-A	Negative	0.63814	0.36186
1G1E-A-B	Negative	0.820215	0.179785
1SGI-A-B	Negative	0.708445	0.291555
1SGI-D-E	Negative	0.714891	0.285109
1I1F-C-A	Negative	0.802017	0.197983
1K4U-P-S	Positive	0.340325	0.659675
1BMB-I-A	Negative	0.5	0.5
1THR-I-H	Negative	0.566286	0.433714
1MT1-A-B	Negative	0.874307	0.125693
1MT1-C-B	Negative	0.860084	0.139916
1MT1-E-B	Negative	0.880035	0.119965
1MT1-G-B	Negative	0.856387	0.143613
1MT1-I-H	Negative	0.856448	0.143552
1MT1-K-H	Negative	0.906335	0.093665
1U8P-C-A	Positive	0.278168	0.721832
1Z71-B-A	Negative	0.61163	0.38837
1TVH-C-A	Negative	0.789414	0.210586
1TVH-F-D	Negative	0.789414	0.210586
1FFK-Y-P	Positive	0.311541	0.688459
1H9H-I-E	Negative	0.5	0.5
1IQ5-B-A	Negative	0.695802	0.304198
1X3Z-I-A	Negative	0.485888	0.514112
1NRO-L-H	Negative	0.66474	0.33526
1NRO-R-H	Negative	0.535904	0.464096
1B3G-B-A	Positive	0.345112	0.654888
1OGT-C-A	Positive	0.370452	0.629548
1J4Q-B-A	Negative	0.85045	0.14955
1RBC-S-A	Positive	0.421756	0.578244
1HAJ-B-A	Negative	0.542355	0.457645
1H6E-P-A	Negative	0.697785	0.302215
1KUK-B-A	Positive	0.366901	0.633099
1Z7Z-5-1	Negative	0.541307	0.458693
1Z7Z-4-3	Negative	0.602801	0.397199
1HRI-4-1	Negative	0.666792	0.333208
1TMT-I-H	Positive	0.303327	0.696673
1TMT-J-H	Negative	0.578421	0.421579
1UTI-D-A	Positive	0.16779	0.83221
1YVL-C-A	Positive	0.288787	0.711213
1RH5-C-A	Negative	0.920093	0.0799074
1TJK-I-A	Negative	0.459511	0.540489
1AW8-A-B	Negative	0.855098	0.144902
1ZY1-D-A	Positive	0.380208	0.619792
1Q4Q-O-A	Positive	0.261935	0.738065
1Q4Q-R-A	Positive	0.353708	0.646292
1YM2-X-A	Negative	0.552654	0.447346
1MFG-B-A	Negative	0.913674	0.086326
1CFA-B-A	Negative	0.472638	0.527362
1BQP-B-A	Negative	0.865756	0.134244
1BQP-D-A	Negative	0.865756	0.134244
1I7U-C-A	Negative	0.942488	0.0575125
1FZO-P-A	Negative	0.857124	0.142876
1OEB-D-A	Positive	0.251376	0.748624
1L3E-A-B	Negative	0.761238	0.238762
1PRM-A-C	Negative	0.629304	0.370696
1Z9O-G-A	Positive	0.347134	0.652866
1QUR-I-H	Positive	0.412551	0.587449
1W3C-C-A	Negative	0.906852	0.0931479
1KUJ-B-A	Positive	0.442659	0.557341
1KUJ-D-A	Negative	0.485084	0.514916
1KUJ-F-A	Negative	0.733143	0.266857
1KUJ-H-C	Negative	0.594061	0.405939
1FC2-C-D	Negative	0.681135	0.318865
1AKJ-C-A	Negative	0.837632	0.162368
1YTF-C-A	Negative	0.773501	0.226499
1YTF-B-D	Negative	0.850642	0.149358
1TNO-M-A	Negative	0.582	0.418
1ZVZ-B-A	Negative	0.938675	0.0613253
1AR9-0-1	Positive	0.197429	0.802571
1XXV-C-A	Positive	0.378218	0.621782
1XXV-D-A	Positive	0.435819	0.564181
1BM2-L-A	Negative	0.579421	0.420579
1V54-K-A	Negative	0.82656	0.17344
1V54-L-A	Negative	0.800261	0.199739
1V54-M-A	Negative	0.715638	0.284362
1V54-Y-N	Negative	0.800261	0.199739
1YY6-B-A	Positive	0.208895	0.791105
1D0A-G-A	Positive	0.305319	0.694681
1Z3P-S-E	Positive	0.367839	0.632161
1ZBE-4-1	Negative	0.685834	0.314166
1IDG-B-A	Negative	0.641667	0.358333
1TFC-C-A	Negative	0.655341	0.344659
1TFC-D-B	Negative	0.514312	0.485688
1ID5-L-H	Negative	0.686115	0.313885
1S7U-C-A	Negative	0.845967	0.154033
1OV3-C-A	Positive	0.112194	0.887806
1OW7-D-A	Negative	0.715425	0.284575
1VWL-M-B	Positive	0.125063	0.874937
1PQ1-B-A	Negative	0.777019	0.222981
1JGN-B-A	Negative	0.860943	0.139057
1GNG-X-A	Negative	0.629367	0.370633
1KAT-X-V	Negative	0.666112	0.333888
1T1X-C-A	Negative	0.890076	0.109924
1T37-P-A	Negative	0.680506	0.319494
1OK7-C-B	Negative	0.792429	0.207571
1PTS-P-B	Positive	0.326031	0.673969
1LF8-E-A	Negative	0.587167	0.412833
1IHT-L-H	Negative	0.7129	0.2871
1IHT-I-H	Negative	0.480299	0.519701
1MXE-E-A	Negative	0.489676	0.510324
1I4F-C-A	Negative	0.631744	0.368256
1DD4-C-A	Negative	0.938779	0.0612205
1DD4-D-A	Negative	0.945977	0.0540233
1EFX-C-A	Negative	0.938032	0.0619676
1B05-B-A	Positive	0.319805	0.680195
1OO4-B-A	Negative	0.810223	0.189777
1T5W-C-A	Negative	0.837775	0.162225
1GBQ-B-A	Positive	0.264451	0.735549
1VAC-P-A	Negative	0.5	0.5
1I8I-C-A	Negative	0.464733	0.535267
1YMM-C-A	Negative	0.559873	0.440127
1TSU-P-A	Negative	0.51048	0.48952
1ZTZ-P-A	Negative	0.569838	0.430162
1M43-C-A	Negative	0.513068	0.486932
1B0N-B-A	Negative	0.90908	0.0909202
1NRP-R-H	Negative	0.551036	0.448964
1DUY-C-A	Negative	0.847696	0.152304
1MVK-E-H	Negative	0.808171	0.191829
1MVK-F-H	Negative	0.824086	0.175914
1MVK-G-H	Negative	0.827278	0.172722
1MVK-I-H	Negative	0.820396	0.179604
1MVK-K-H	Negative	0.824086	0.175914
1MVK-L-H	Negative	0.829436	0.170564
1BDT-D-B	Negative	0.769553	0.230447
1BXX-P-A	Positive	0.447081	0.552919
1BCU-L-H	Negative	0.70001	0.29999
1AOU-P-F	Negative	0.603533	0.396467
1WCY-C-A	Negative	0.520709	0.479291
1KTR-P-L	Positive	0.353348	0.646652
1EEY-C-A	Negative	0.928987	0.0710134
1WS5-F-A	Negative	0.458454	0.541546
1DDH-P-A	Negative	0.608977	0.391023
1S7V-C-A	Negative	0.92162	0.0783803
1K2N-P-A	Negative	0.683642	0.316358
1PFG-B-A	Negative	0.64968	0.35032
1TP3-B-A	Positive	0.32393	0.67607
1JGE-C-A	Negative	0.765619	0.234381
1IQ1-A-C	Negative	0.520895	0.479105
1IQ1-B-C	Positive	0.369264	0.630736
1IM9-C-A	Negative	0.765093	0.234907
1Q0W-A-B	Negative	0.491509	0.508491
1JMT-B-A	Negative	0.664982	0.335018
1LOD-B-A	Negative	0.87879	0.12121
1LOD-D-A	Negative	0.880983	0.119017
1ZT1-P-A	Negative	0.820647	0.179353
1HBT-I-H	Positive	0.386065	0.613935
1OZB-I-A	Positive	0.355739	0.644261
1H8B-B-A	Negative	0.758607	0.241393
1ND2-D-A	Negative	0.601707	0.398293
1A6A-C-A	Negative	0.747272	0.252728
1XXP-C-A	Negative	0.466426	0.533574
1BR8-P-I	Negative	0.839008	0.160992
1TG4-I-A	Negative	0.515209	0.484791
1GJ7-A-B	Negative	0.527231	0.472769
1QNZ-P-H	Negative	0.63018	0.36982
1GBD-P-A	Negative	0.511829	0.488171
